tcell_id	h_age
21514359	1 day
21514360	1 day
21514361	1 day
21514362	1 day
21514363	1 day
21514164	1 day
21514163	1 day
21514165	1 day
21514184	1 day
21514185	1 day
21514186	1 day
21514187	1 day
21514188	1 day
21514283	1 day
21514284	1 day
21514285	1 day
21514286	1 day
21514287	1 day
21514288	1 day
21514364	1 day
21514365	1 day
21514366	1 day
21514367	1 day
21514368	1 day
21514369	1 day
1465508	adult
21526146	newborn
21526148	newborn
21526150	newborn
21526154	newborn
21526156	newborn
21526160	newborn
21526162	newborn
21526165	newborn
21526168	newborn
21526169	newborn
21526170	newborn
22307083	1 month
22307084	1 month
22307086	1 month
22307088	1 month
22307090	1 month
22307091	1 month
22307092	1 month
22307093	1 month
22307094	1 month
2855272	adult
2855295	adult
2855260	adult
21514269	1 day
1031060	8-12 week
